# Title: Southern Hemisphere Land and Ocean Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1901-2000
Date,Anomaly
189612,0.15
189701,0.03
189702,0.05
189703,0.08
189704,0.10
189705,-0.08
189706,-0.01
189707,-0.09
189708,-0.06
189709,-0.07
189710,-0.02
189711,-0.02
189712,-0.06
189801,-0.12
189802,-0.15
189803,-0.19
189804,-0.31
189805,-0.24
189806,-0.15
189807,-0.16
189808,-0.19
189809,-0.12
189810,-0.22
189811,-0.13
189812,-0.13
189901,-0.25
189902,-0.14
189903,-0.06
189904,-0.11
189905,-0.12
189906,-0.11
189907,-0.06
189908,0.00
189909,0.06
189910,-0.13
189911,-0.03
189912,-0.05
190001,-0.08
190002,0.12
190003,-0.02
190004,-0.11
190005,-0.14
190006,0.01
190007,-0.09
190008,-0.06
190009,-0.13
190010,0.09
190011,0.07
190012,-0.01
190101,-0.05
190102,-0.09
190103,-0.17
190104,-0.09
190105,-0.11
190106,-0.18
190107,-0.17
190108,-0.12
190109,-0.06
190110,-0.18
190111,-0.07
190112,-0.08
190201,-0.14
190202,-0.11
190203,-0.15
190204,-0.15
190205,-0.11
190206,-0.03
190207,-0.11
190208,-0.21
190209,-0.13
190210,-0.18
190211,-0.11
190212,-0.17
190301,-0.17
190302,-0.20
190303,-0.19
190304,-0.31
190305,-0.25
190306,-0.13
190307,-0.31
190308,-0.34
190309,-0.44
190310,-0.34
190311,-0.37
190312,-0.41
190401,-0.52
190402,-0.50
190403,-0.50
190404,-0.45
190405,-0.50
190406,-0.33
190407,-0.31
190408,-0.40
190409,-0.36
190410,-0.28
190411,-0.19
190412,-0.19
190501,-0.21
190502,-0.29
190503,-0.13
190504,-0.20
190505,-0.14
190506,-0.04
190507,-0.13
190508,-0.24
190509,-0.27
190510,-0.28
190511,-0.14
190512,0.01
190601,-0.02
190602,0.01
190603,-0.08
190604,-0.08
190605,-0.10
190606,-0.02
190607,-0.04
190608,-0.19
190609,-0.25
190610,-0.13
190611,-0.23
190612,-0.23
190701,-0.26
190702,-0.28
190703,-0.18
190704,-0.25
190705,-0.24
190706,-0.21
190707,-0.13
190708,-0.06
190709,-0.20
190710,-0.14
190711,-0.28
190712,-0.30
190801,-0.32
190802,-0.37
190803,-0.33
190804,-0.34
190805,-0.44
190806,-0.37
190807,-0.25
190808,-0.38
190809,-0.50
190810,-0.38
