# Title: Southern Hemisphere Land Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1901-2000
Date,Anomaly
189811,0.12
189812,0.06
189901,-0.72
189902,-0.53
189903,-0.01
189904,0.05
189905,-0.16
189906,-0.19
189907,0.07
189908,0.11
189909,0.33
189910,-0.52
189911,0.06
189912,0.14
190001,0.02
190002,0.74
190003,0.01
190004,-0.32
190005,-0.34
190006,0.23
190007,-0.06
190008,-0.01
190009,-0.46
190010,0.56
190011,0.44
190012,0.33
190101,0.04
190102,-0.12
190103,-0.44
190104,-0.16
190105,0.01
190106,-0.15
190107,0.07
190108,0.27
190109,0.55
190110,0.15
190111,0.24
190112,0.26
190201,-0.08
190202,0.11
190203,-0.03
190204,0.06
190205,0.42
190206,0.70
190207,0.39
190208,-0.17
190209,0.25
190210,-0.09
190211,0.32
190212,0.08
190301,0.06
190302,-0.12
190303,0.27
190304,-0.31
190305,0.01
190306,0.46
190307,-0.49
190308,-0.28
190309,-0.51
190310,-0.15
190311,-0.38
190312,-0.55
190401,-0.91
190402,-0.69
190403,-0.61
190404,-0.42
190405,-0.54
190406,-0.13
190407,0.00
190408,-0.52
190409,-0.24
190410,-0.37
190411,-0.10
190412,-0.01
190501,-0.11
190502,-0.48
190503,-0.06
190504,-0.28
190505,0.25
190506,0.55
190507,0.21
190508,-0.59
190509,-0.71
190510,-0.74
190511,0.02
190512,0.34
190601,0.05
190602,0.19
190603,-0.03
190604,0.15
190605,0.46
190606,0.56
190607,0.46
190608,-0.14
190609,-0.34
190610,-0.01
190611,-0.17
190612,-0.12
190701,-0.38
190702,-0.39
190703,-0.14
190704,-0.41
190705,-0.27
190706,-0.17
190707,0.19
190708,0.40
190709,-0.16
190710,-0.01
190711,-0.25
190712,-0.40
190801,-0.34
190802,-0.60
190803,-0.28
190804,-0.38
190805,-0.71
190806,-0.43
190807,0.04
190808,-0.69
190809,-0.97
190810,-0.39
190811,-0.16
190812,-0.03
190901,-0.56
190902,-0.34
190903,-0.16
190904,-0.22
190905,-0.16
190906,-0.07
190907,-0.32
190908,-0.05
190909,-0.19
190910,0.29
190911,0.04
190912,-0.52
191001,-0.40
191002,-0.43
191003,-0.50
191004,-0.09
191005,-0.09
191006,0.29
191007,0.09
191008,0.22
191009,0.13
191010,-0.66
191011,-0.32
191012,-0.59
191101,-0.12
191102,-0.49
191103,-0.65
191104,-0.45
191105,-0.61
191106,-0.80
191107,-0.25
191108,0.00
191109,-0.37
191110,-0.19
191111,0.19
191112,0.19
191201,0.14
191202,0.27
191203,0.51
191204,-0.26
191205,-0.13
191206,-0.29
191207,-0.12
191208,-0.28
191209,-0.23
191210,-0.15
191211,0.13
191212,-0.11
191301,-0.16
191302,-0.09
191303,-0.42
191304,-0.20
191305,-0.58
191306,-0.13
191307,0.16
191308,0.51
191309,-0.23
191310,0.18
191311,0.15
191312,0.32
191401,0.18
191402,0.18
191403,0.05
191404,0.30
191405,0.18
191406,0.46
191407,0.04
191408,-0.46
191409,-0.47
191410,-0.29
191411,0.51
191412,-0.13
191501,-0.26
191502,0.18
191503,0.08
191504,0.52
191505,-0.08
191506,0.13
191507,0.44
191508,0.22
191509,0.23
191510,0.26
191511,0.29
191512,-0.08
191601,-0.20
191602,-0.07
191603,-0.18
191604,0.12
191605,0.07
191606,0.24
191607,-0.36
191608,0.57
191609,-0.07
191610,-0.30
191611,-0.55
191612,-0.52
191701,-0.27
191702,-0.79
191703,-0.96
191704,-0.34
191705,-1.10
191706,-0.94
191707,0.18
191708,-0.32
191709,-0.34
191710,-0.37
191711,-0.67
191712,-0.10
191801,-0.79
191802,-0.74
191803,-0.92
191804,-0.68
191805,-0.18
191806,-0.47
191807,-0.20
191808,-0.25
191809,-0.35
191810,0.00
191811,0.08
191812,0.14
191901,0.07
191902,-0.26
191903,-0.11
191904,0.83
191905,-0.05
191906,-0.08
191907,-0.23
191908,-0.92
191909,-0.35
191910,-0.93
191911,-0.23
191912,0.09
192001,0.02
192002,-0.31
192003,-0.73
192004,-0.63
192005,-0.34
192006,-0.41
192007,-0.36
192008,-0.22
192009,-0.02
192010,-0.13
192011,-0.09
192012,-0.26
192101,-0.13
192102,-0.27
192103,-0.28
192104,-0.33
192105,0.31
192106,-0.21
192107,-0.02
192108,0.07
192109,-0.09
192110,-0.31
192111,-0.33
192112,0.01
192201,-0.40
192202,-0.30
192203,-0.32
192204,0.24
192205,-0.48
192206,-0.23
192207,-0.43
192208,-0.67
192209,0.09
192210,-0.16
192211,0.53
192212,-0.42
192301,-0.20
192302,0.22
192303,-0.06
192304,-0.08
192305,-0.02
192306,-0.08
192307,-0.80
192308,-1.07
192309,-0.64
192310,-0.75
192311,-0.22
192312,0.20
192401,-0.29
192402,-0.15
192403,-0.17
192404,-0.62
192405,-0.58
192406,-0.38
192407,-0.73
192408,-1.12
192409,-0.30
192410,-0.32
192411,-0.45
192412,-0.49
192501,-0.66
192502,-0.34
192503,-0.69
192504,0.09
192505,0.02
192506,-0.45
192507,-0.56
192508,-0.75
192509,-1.30
192510,-0.52
192511,-0.12
192512,0.02
192601,0.14
192602,0.56
192603,0.24
192604,0.38
192605,-0.45
192606,-0.14
192607,-0.22
192608,-0.72
192609,-0.12
192610,0.22
192611,-0.06
192612,-0.17
192701,-0.11
192702,-0.04
192703,0.13
192704,-0.65
192705,-0.69
192706,0.15
192707,-0.39
192708,0.64
192709,-0.29
192710,-0.20
192711,0.28
192712,-0.34
192801,-0.36
192802,-0.37
192803,-0.21
192804,0.33
192805,-0.31
192806,0.43
192807,-0.57
192808,-0.36
192809,0.39
192810,-0.09
192811,0.01
192812,0.23
192901,0.30
192902,-0.17
192903,-0.15
192904,-0.58
192905,-0.36
192906,-0.94
192907,-1.09
192908,-0.25
192909,-0.32
192910,-0.23
192911,0.02
192912,-0.44
193001,-0.34
193002,-0.24
193003,-0.55
193004,-0.04
193005,-0.05
193006,-0.07
193007,0.26
193008,-0.63
193009,-0.53
193010,-0.32
193011,0.08
193012,-0.09
193101,0.08
193102,0.01
193103,-0.09
193104,-0.15
193105,-0.30
193106,-0.41
193107,-0.32
193108,-0.03
193109,-0.13
193110,-0.45
193111,-0.43
193112,0.14
193201,0.37
193202,-0.44
193203,-0.21
193204,0.12
193205,-0.28
193206,0.07
193207,-0.59
193208,-1.35
193209,-0.06
193210,0.02
193211,-0.14
193212,0.03
193301,0.02
193302,-0.24
193303,0.24
193304,-0.23
193305,0.22
193306,-0.07
193307,-0.93
193308,-0.67
193309,-0.69
193310,0.17
193311,-0.50
193312,-0.22
193401,-0.03
193402,-0.34
193403,-0.12
193404,-0.18
193405,0.23
193406,-0.09
193407,-0.30
193408,-0.18
193409,0.41
193410,-0.27
193411,-0.29
193412,-0.38
193501,-0.07
193502,0.05
193503,-0.31
193504,-0.74
193505,-0.12
193506,-0.89
193507,0.31
193508,-0.27
193509,0.23
193510,-0.23
193511,0.37
193512,0.15
193601,-0.20
193602,0.08
193603,0.40
193604,-0.49
193605,-0.12
193606,-0.33
193607,0.25
193608,0.68
193609,-0.16
193610,0.07
193611,0.02
193612,0.12
193701,-0.14
193702,0.00
193703,-0.16
193704,-0.74
193705,-0.38
193706,-0.34
193707,-0.52
193708,0.20
193709,0.04
193710,-0.09
193711,0.26
193712,-0.13
193801,-0.01
193802,0.04
193803,0.39
193804,-0.23
193805,0.08
193806,-0.70
193807,0.33
193808,-0.23
193809,0.08
193810,0.16
193811,0.05
193812,-0.02
193901,0.51
193902,0.06
193903,-0.62
193904,-0.28
193905,0.40
193906,0.07
193907,0.37
193908,0.53
193909,-0.44
193910,-0.39
193911,-0.37
193912,0.07
194001,0.04
194002,0.00
194003,-0.16
194004,0.21
194005,-0.15
194006,-0.30
194007,-0.29
194008,-0.37
194009,-0.33
194010,0.13
194011,-0.15
194012,0.59
194101,-0.43
194102,0.09
194103,-0.13
194104,0.97
194105,0.36
194106,0.12
194107,0.18
194108,0.43
194109,0.11
194110,-0.18
194111,0.14
194112,0.09
194201,0.20
194202,-0.15
194203,-0.09
194204,0.03
194205,-0.36
194206,-0.10
194207,-0.57
194208,0.74
194209,0.57
194210,-0.39
194211,0.14
194212,-0.46
194301,0.18
194302,-0.27
194303,0.03
194304,-0.48
194305,-0.95
194306,-0.94
194307,0.13
194308,-0.41
194309,-0.36
194310,-0.07
194311,-0.38
194312,-0.18
194401,-0.01
194402,0.03
194403,-0.12
194404,-0.64
194405,-0.01
194406,-0.12
194407,-0.47
194408,-0.01
194409,0.61
194410,0.09
194411,0.71
194412,0.29
194501,0.06
194502,-0.08
194503,-0.06
194504,0.48
194505,-0.13
194506,-0.03
194507,-0.13
194508,0.88
194509,-0.02
194510,-0.68
194511,-0.01
194512,-0.08
194601,0.09
194602,0.09
194603,-0.64
194604,-0.57
194605,0.34
194606,-0.08
194607,-0.12
194608,-0.22
194609,0.15
194610,-0.45
194611,0.32
194612,0.22
194701,0.48
194702,0.39
194703,-0.35
194704,-0.05
194705,-0.05
194706,0.26
194707,0.18
194708,-0.15
194709,-0.25
194710,-0.46
194711,-0.30
194712,-0.42
194801,-0.22
194802,0.22
194803,-0.39
194804,0.04
194805,0.50
194806,-0.62
194807,0.08
194808,-0.12
194809,-0.13
194810,0.03
194811,-0.07
194812,-0.06
194901,0.22
194902,-0.26
194903,-0.15
194904,-0.27
194905,0.19
194906,-0.04
194907,0.20
194908,-0.19
194909,-0.35
194910,-0.08
194911,-0.20
194912,0.03
195001,0.03
195002,0.24
195003,-0.17
195004,-0.20
195005,0.52
195006,0.06
195007,0.31
195008,-0.13
195009,-0.03
195010,-0.73
195011,-0.37
195012,-0.63
195101,-0.31
195102,-0.39
195103,0.30
195104,-0.75
195105,-0.14
195106,-0.06
195107,-0.57
195108,-0.26
195109,-0.08
195110,0.15
195111,0.08
195112,-0.24
195201,0.40
195202,0.09
195203,0.19
195204,0.03
195205,-0.63
195206,-0.59
195207,-0.12
195208,0.10
195209,-0.39
195210,0.08
195211,-0.05
195212,-0.09
195301,0.04
195302,0.04
195303,0.61
195304,0.36
195305,-0.20
195306,-0.16
195307,-1.08
195308,-0.51
195309,-0.64
195310,-0.21
195311,-0.20
195312,0.09
195401,0.09
195402,-0.12
195403,0.05
195404,-0.79
195405,-0.60
195406,-0.35
195407,0.00
195408,-0.50
195409,-0.58
195410,-0.08
195411,-0.40
195412,0.25
195501,0.07
195502,-0.19
195503,-0.35
195504,-0.20
195505,-0.23
195506,-0.43
195507,-0.28
195508,0.76
195509,-0.22
195510,-0.06
195511,-0.13
195512,-0.31
195601,-0.32
195602,-0.02
195603,-0.13
195604,-0.19
195605,-0.31
195606,-0.49
195607,0.05
195608,-1.19
195609,0.18
195610,-0.48
195611,-0.24
195612,-0.07
195701,-0.06
195702,-0.13
195703,-0.11
195704,0.34
195705,0.12
195706,0.52
195707,-0.49
195708,0.31
195709,0.32
195710,0.60
195711,0.25
195712,0.24
195801,0.26
195802,0.49
195803,0.36
195804,0.56
195805,0.63
195806,-0.38
195807,0.41
195808,-0.95
195809,-0.57
195810,0.09
195811,0.17
195812,-0.49
195901,-0.04
195902,0.13
195903,0.42
195904,0.81
195905,0.33
195906,0.18
195907,0.63
195908,-0.06
195909,-0.57
195910,0.08
195911,-0.17
195912,0.08
196001,-0.29
196002,-0.19
196003,-0.88
196004,-0.42
196005,-1.08
196006,-0.83
196007,-0.64
196008,-0.31
196009,-0.25
196010,0.28
196011,-0.48
196012,-0.16
196101,-0.01
196102,0.17
196103,0.15
196104,0.62
196105,0.53
196106,0.08
196107,0.15
196108,0.13
196109,1.05
196110,0.52
196111,0.15
196112,-0.34
196201,-0.58
196202,0.13
196203,-0.07
196204,-0.40
196205,-0.81
196206,0.11
196207,-0.84
196208,-0.48
196209,-0.17
196210,-0.25
196211,0.29
196212,-0.19
196301,-0.13
196302,-0.14
196303,-0.19
196304,-0.51
196305,-0.49
196306,0.07
196307,-0.07
196308,0.84
196309,0.82
196310,-0.02
196311,-0.28
196312,-0.16
196401,0.05
196402,-0.24
196403,-0.17
196404,-0.31
196405,-0.80
196406,0.23
196407,0.21
196408,0.02
196409,-0.76
196410,-0.72
196411,-0.21
196412,-0.33
196501,-0.16
196502,0.46
196503,-0.40
196504,-0.20
196505,0.11
196506,-0.13
196507,-0.20
196508,0.42
196509,-0.16
196510,0.34
196511,0.11
196512,0.21
196601,-0.18
196602,0.17
196603,0.80
196604,0.20
196605,-0.01
196606,0.11
196607,0.47
196608,-0.90
196609,-0.26
196610,-0.39
196611,0.03
196612,-0.04
196701,0.43
196702,-0.03
196703,-0.15
196704,-0.22
196705,0.58
196706,-0.11
196707,-0.09
196708,0.04
196709,0.30
196710,0.13
196711,-0.08
196712,0.07
196801,-0.14
196802,-0.09
196803,0.34
196804,0.02
196805,-0.45
196806,-0.18
196807,-0.58
196808,-0.16
196809,-1.03
196810,0.54
196811,-0.15
196812,-0.26
196901,0.41
196902,0.24
196903,0.24
196904,0.58
196905,0.54
196906,0.41
196907,-0.41
196908,-0.34
196909,0.12
196910,0.66
196911,-0.08
196912,-0.07
197001,0.26
197002,0.39
197003,0.79
197004,0.58
197005,-0.11
197006,0.17
197007,0.26
197008,-0.71
197009,0.73
197010,0.67
197011,-0.13
197012,0.23
197101,0.31
197102,-0.01
197103,0.10
197104,0.13
197105,0.01
197106,-0.57
197107,-0.10
197108,0.24
197109,0.67
197110,0.09
197111,-0.80
197112,0.07
197201,-0.05
197202,0.05
197203,0.12
197204,0.09
197205,0.30
197206,0.87
197207,0.08
197208,1.31
197209,0.92
197210,0.26
197211,0.09
197212,0.42
197301,0.73
197302,0.06
197303,0.27
197304,0.85
197305,0.89
197306,0.81
197307,0.26
197308,-0.27
197309,0.44
197310,0.70
197311,0.39
197312,-0.42
197401,0.07
197402,-0.59
197403,-0.51
197404,-0.37
197405,0.36
197406,0.31
197407,-0.05
197408,0.78
197409,-0.51
197410,0.26
197411,-0.10
197412,0.04
197501,-0.10
197502,0.05
197503,0.43
197504,-0.09
197505,0.96
197506,0.38
197507,-0.01
197508,-0.81
197509,0.03
197510,-0.30
197511,-0.11
197512,-0.14
197601,-0.34
197602,-0.19
197603,-0.35
197604,-0.69
197605,-0.97
197606,-0.31
197607,0.36
197608,-0.33
197609,-0.28
197610,-0.67
197611,-0.27
197612,0.68
197701,0.60
197702,0.08
197703,0.06
197704,0.03
