year,month,north_co2_anomaly,norm_north_co2,south_co2_anomaly,norm_south_co2,msl_mm_north,msl_mm_south,norm_msl_north,norm_msl_south,north_land_ocean_anomaly,south_land_ocean_anomaly,north_land_anomaly,south_land_anomaly,norm_north_land_ocean,norm_south_land_ocean,norm_north_land,norm_south_land
1995,6,-1.8437472750767707,0.0445732586661592,-0.0579898312195812,0.1585582120671146,2.1130299777171,5.380409067696675,0.02392945022639519,0.09745673016910855,0.58,0.36,0.85,0.49,0.3192488262910798,0.2525252525252525,0.3455056179775281,0.38390092879256965
1995,7,-2.010121325959931,0.0319944587577247,-0.0482627047837658,0.1621939525053091,0.45155795369875,5.50077381907915,0.00814158688049117,0.09856809049200452,0.44,0.55,0.45,1.46,0.2535211267605634,0.44444444444444436,0.23314606741573035,0.6842105263157895
1995,8,-1.9799380913497904,0.034276478500196,-0.1587373411830137,0.1209014797897626,-0.4052406223137755,3.68955522421072,0.0,0.08184461904950693,0.63,0.44,0.85,0.96,0.3427230046948357,0.33333333333333326,0.3455056179775281,0.5294117647058824
1995,9,-1.530950219776008,0.0682224488474993,-0.2148662977768154,0.0999219727803381,1.722980403849725,3.712674677483125,0.020223068607369984,0.08205808721820984,0.51,0.32,0.75,0.48,0.2863849765258216,0.2121212121212121,0.3174157303370787,0.38080495356037153
1995,10,-0.4797432184616319,0.147699521514108,-0.1691021116434914,0.1170274050211844,4.093190006199075,3.19804547608275,0.04274559367073978,0.07730637653156039,0.54,0.33,0.81,0.47,0.3004694835680751,0.2222222222222222,0.33426966292134835,0.3777089783281734
1995,11,0.7281268923848643,0.2390211931273493,-0.2616100625028679,0.0824504001869968,8.575127129477499,1.7275924284363398,0.08533446053358167,0.06372928560530772,0.59,0.32,0.93,0.32,0.323943661971831,0.2121212121212121,0.3679775280898877,0.3312693498452013
1995,12,2.1605463622533865,0.3473200402178464,-0.2045180713484593,0.1037898638309403,9.023731524170726,1.700002344420175,0.08959724966117665,0.06347453889309546,0.39,0.23,0.45,0.2,0.23004694835680753,0.1212121212121212,0.23314606741573035,0.29411764705882354
1996,1,2.446466918530517,0.3689372181853652,-0.0660745052743307,0.15553637652458,7.27014624463194,2.55060697413336,0.07293409532663127,0.07132840163178825,0.33,0.23,0.41,0.06,0.2018779342723005,0.1212121212121212,0.22191011235955058,0.25077399380804954
1996,2,1.512914338919117,0.2983554715692332,-0.1181875082242576,0.1360579258813182,5.7698555132337,3.853959582279425,0.058677830578245584,0.08336260897903491,0.58,0.39,1.04,0.49,0.3192488262910798,0.28282828282828276,0.3988764044943821,0.38390092879256965
1996,3,1.1819471038090512,0.273332515137037,-0.0967233536663618,0.1440806544037378,3.437327097424575,4.417094283624725,0.03651336476306571,0.0885621840733441,0.38,0.37,0.58,0.27,0.22535211267605634,0.2626262626262626,0.2696629213483146,0.31578947368421056
1996,4,-0.4085328828307553,0.1530834173714151,-0.0626730632387233,0.1568077448406634,7.309775273608251,2.6963644435634,0.07331066362568435,0.07267421979225223,0.22,0.46,0.15,0.81,0.15023474178403756,0.3535353535353535,0.14887640449438203,0.48297213622291024
1996,5,-1.1297828692480625,0.0985529228925872,-0.01855279613617,0.1732987239913059,9.6124324756434,4.6072117622908,0.09519128316826843,0.09031759020389052,0.42,0.25,0.59,-0.15,0.24413145539906103,0.14141414141414138,0.2724719101123596,0.18575851393188855
1996,6,-1.6847254823505793,0.0565961871286516,0.1359812171127128,0.2310594167049036,9.085612622983325,5.943426691543725,0.09018526457663989,0.1026552242551926,0.32,0.27,0.28,-0.03,0.1971830985915493,0.1616161616161616,0.1853932584269663,0.22291021671826627
1996,7,-1.744130915473043,0.0521048072965519,0.1950733126391486,0.2531464660201112,10.58265796383656,6.873942794406341,0.10441069053768041,0.1112469312512979,0.36,0.39,0.45,0.75,0.215962441314554,0.28282828282828276,0.23314606741573035,0.4643962848297214
1996,8,-1.7430985837754278,0.0521828572916954,-0.0157017019443896,0.1743643869612031,9.526051231116275,4.1543479674838,0.09437045966686212,0.08613617623141191,0.26,0.65,0.11,2.0,0.16901408450704225,0.5454545454545454,0.13764044943820225,0.8513931888544892
1996,9,-1.2658844994318077,0.088262885689037,-0.0472231120976887,0.1625825245253155,9.0151496605228,3.58686928268755,0.08951570192003627,0.08089649196232149,0.16,0.42,-0.06,0.85,0.12206572769953053,0.31313131313131304,0.08988764044943821,0.4953560371517028
1996,10,-0.1646317377325168,0.1715236950790448,-0.0827962321734561,0.1492862409799506,12.3626866981283,5.54455941509736,0.12132511943116993,0.09897237474939778,0.06,0.35,-0.12,0.49,0.07511737089201878,0.24242424242424238,0.07303370786516855,0.38390092879256965
