time,msl,cycle
1994-03-07 15:19:12.567462912,0.00136260739863646,54.0
1994-03-17 13:01:38.929472512,0.002474222580887288,55.0
1994-03-27 11:16:16.375096064,0.003602341173827273,56.0
1994-04-06 09:14:47.678664448,0.004452975659154184,57.0
1994-04-16 07:13:18.940588032,0.004518917253730353,58.0
1994-04-26 05:11:50.073664768,0.0034645113707945387,59.0
1994-05-06 03:10:21.430698496,0.001753182010279073,60.0
1994-05-16 00:40:35.852691456,0.0005230373484773803,61.0
1994-05-25 23:07:23.676452096,0.00042441203154919044,62.0
1994-06-04 21:05:55.922028032,0.0009884494357152304,63.0
1994-06-14 19:04:05.238721024,0.0012652664429976068,64.0
1994-06-24 16:47:40.570584832,0.0008429264847324006,65.0
1994-07-04 15:01:30.560062464,0.00016649042589024466,66.0
1994-07-14 13:00:01.635949568,-0.00012825615240794644,67.0
1994-07-24 10:58:33.333528832,4.7749917581486575e-05,68.0
1994-08-03 08:57:04.291867904,0.000215408894312931,69.0
1994-08-13 06:55:35.362969344,3.3570771465892815e-05,70.0
1994-08-23 04:54:06.668723456,-0.00033171585926099895,71.0
1994-09-02 02:52:37.694073856,-0.0005887572607613145,72.0
1994-09-12 00:51:08.984873984,-0.0006687895196925325,73.0
1994-09-21 22:49:39.772029952,-0.0006481556712923944,74.0
1994-10-01 19:40:56.976791040,-0.00040155743225337305,75.0
1994-10-11 18:46:41.767812608,0.0005651948388967238,76.0
1994-10-21 16:45:14.088849408,0.0021660884715468676,77.0
1994-10-31 14:43:46.208723968,0.0031541988263863734,78.0
1994-11-10 12:26:12.652496896,0.002356939944920823,79.0
1994-11-20 10:40:50.809026560,0.00031611278461292044,80.0
1994-11-30 08:39:22.335777280,-0.0010898297210771486,81.0
1994-12-10 06:37:54.006755840,-0.0007083803034810746,82.0
1994-12-20 04:36:25.769936896,0.0007671541282279853,83.0
1994-12-30 02:34:57.122641408,0.0020197013887818848,84.0
1995-01-09 00:33:28.597893120,0.0026088913796161193,85.0
1995-01-18 22:32:00.064000000,0.0028727421581654423,86.0
1995-01-28 20:30:31.673387008,0.002857447710024746,87.0
1995-02-07 18:29:03.351789824,0.0026148600179261533,88.0
1995-02-17 16:27:35.165456896,0.0028017673789177034,89.0
1995-02-27 14:25:25.220445696,0.0038494122342201758,90.0
1995-03-09 12:09:49.833812992,0.005153066540513705,91.0
1995-03-19 10:23:09.347090688,0.00569746127084219,92.0
1995-03-29 08:21:40.555463424,0.005251887997788101,93.0
1995-04-08 06:20:11.482354944,0.004489496311758296,94.0
1995-04-18 04:18:42.762680576,0.003968731684767281,95.0
1995-04-28 02:15:58.779111936,0.003634406758621512,96.0
1995-05-07 23:51:31.317636096,0.0034520387653868964,97.0
1995-05-17 22:14:15.904011520,0.003589514141224665,98.0
1995-05-27 21:09:00.195621632,0.003984167710360808,99.0
1995-06-06 18:11:19.357062400,0.004384138800054927,100.0
