time,msl
1996-02-14,0.003643124660375332
1996-02-21,0.00395435897426466
1996-02-28,0.00436358238498045
1996-03-06,0.004705658804856476
1996-03-13,0.004769125022534973
1996-03-20,0.004431905673118779
1996-03-27,0.0037616876339889773
1996-04-03,0.0030122647987025856
1996-04-10,0.00249855709158121
1996-04-17,0.002435048210698074
1996-04-24,0.0028395876732719653
1996-05-01,0.0035470406141873767
1996-05-08,0.004290422290003326
1996-05-15,0.0048392758937244795
1996-05-22,0.005122171625454479
1996-05-29,0.0052371483880846
1996-06-05,0.00536200699087432
1996-06-12,0.00564030162966348
1996-06-19,0.006104913232437816
1996-06-26,0.006666484913199463
1996-07-03,0.007154221269787971
1996-07-10,0.007385600168737419
1996-07-17,0.007236583686978704
1996-07-24,0.006697976197463264
1996-07-31,0.005895332649064576
